"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Homework","Quiz","Overall","g"
"1",100,100,100,100,100,100,100,100,100,100,12,18,20,20,80,90,100,100,100,19.3333333333333,87.9,"B+"
"2",85,95,100,95,95,95,100,100,100,100,11,16,18,19,57.6,74.7,72,83,97.5,17.6666666666667,77.05,"C"
"3",87.5,100,85,70,100,98,0,80,0,20,10,10,10,0,56.8,54.9,71,61,88.6428571428571,10,59.5428571428571,"D"
"4",92.5,100,100,100,96.25,99,100,92.5,95,100,8,16,13,13,69.6,58.05,87,64.5,98.6071428571429,14,75.2071428571429,"C"
"5",32.5,0,65,60,0,46,0,0,0,0,5,9,0,0,40,16.2,50,18,50.875,7,30.8125,"F"
"6",75,85,92.5,95,100,91,0,0,90,60,11,17,0,15,73.6,71.1,92,79,89.7857142857143,14.3333333333333,73.2357142857143,"C"
"7",90,100,97.5,95,80,80,52,90,90,100,11,9,15,18,78.4,68.85,98,76.5,90.3125,14.6666666666667,78.01875,"C+"
"8",92.5,95,100,90,100,72,95,74.5,100,100,10,8,12,13,52,63.9,65,71,93.375,11.6666666666667,70.5125,"C"
"9",82.5,85,92.5,70,100,0,84,90,95,100,11,18,14,19,80,73.8,100,82,87.375,17,79.2625,"C+"
"10",75,95,95,95,95,96,0,100,98,100,7,10,13,16,63.2,70.65,79,78.5,93.625,13,75.4625,"C"
"11",0,77.5,0,15,0,70,80,80,57.5,100,8,5,7,3,21.6,50.4,27,56,63.3333333333333,6.66666666666667,49.4,"F"
"12",95,100,100,100,100,90,100,100,70,100,12,18,16,20,77.6,87.3,97,97,98.125,18,85.7875,"B"
"13",82.5,0,82.5,80,100,0,0,0,70,100,9,7,9,12,42.4,41.4,53,46,83,10,58.5,"D"
"14",80,92.5,87.5,100,100,69,51.5,80,75,100,12,15,13.5,20,70.4,68.4,88,76,85.5,16.1666666666667,74.675,"C"
"15",87.5,100,100,100,85,90,100,100,80,100,8,13,12,15,68,70.2,85,78,95.3125,13.3333333333333,77.09375,"C"
"16",50,0,67.5,50,0,78,41.5,82.5,80,100,4,10,14,17,40,36.9,50,41,64.2142857142857,13.6666666666667,51.5642857142857,"D"
"17",47.5,70,77.5,30,85,55,78,92.5,80,100,8,3,0,6,47.2,20.7,59,23,73.1875,5.66666666666667,50.35625,"D"
"18",77.5,85,100,100,95,93,82,90,95,100,9,10,14,13,59.2,69.3,74,77,92.5,12.3333333333333,73.65,"C"
"19",65,92.5,92.5,0,95,80,74,80,80,100,10,9,13,14,64,67.95,80,75.5,82.375,12.3333333333333,71.4375,"C"
"20",52.5,75,85,90,86.25,99,70,100,0,40,8,14,5,10,61.6,62.1,77,69,82.21875,10.6666666666667,62.915625,"C-"
